"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"g:\PSUT\db bonus final\db_bonus\app\analysis-equipment\actions.ts", "TypeScript", 0, 25, 0, 5, 30
"g:\PSUT\db bonus final\db_bonus\app\analysis-equipment\page.tsx", "TypeScript JSX", 40, 0, 0, 3, 43
"g:\PSUT\db bonus final\db_bonus\app\analysis-equipment\paget.tsx", "TypeScript JSX", -38, 0, 0, -3, -41
"g:\PSUT\db bonus final\db_bonus\app\animal\actions.ts", "TypeScript", 0, 31, 0, 4, 35
"g:\PSUT\db bonus final\db_bonus\app\animal\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\aquatic\actions.ts", "TypeScript", 0, 24, 0, 4, 28
"g:\PSUT\db bonus final\db_bonus\app\aquatic\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\birds\actions.ts", "TypeScript", 0, 23, 0, 4, 27
"g:\PSUT\db bonus final\db_bonus\app\birds\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\camps\actions.ts", "TypeScript", 0, 30, 0, 3, 33
"g:\PSUT\db bonus final\db_bonus\app\camps\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\employee-team\actions.ts", "TypeScript", 0, 25, -1, 4, 28
"g:\PSUT\db bonus final\db_bonus\app\employee-team\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\employee\actions.ts", "TypeScript", 0, 37, 0, 5, 42
"g:\PSUT\db bonus final\db_bonus\app\employee\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 4
"g:\PSUT\db bonus final\db_bonus\app\health-status\actions.ts", "TypeScript", 0, 25, 0, 6, 31
"g:\PSUT\db bonus final\db_bonus\app\health-status\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\inhabit\actions.ts", "TypeScript", 0, 27, 0, 4, 31
"g:\PSUT\db bonus final\db_bonus\app\inhabit\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\insect\actions.ts", "TypeScript", 0, 24, 0, 4, 28
"g:\PSUT\db bonus final\db_bonus\app\insect\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\phone-number\actions.ts", "TypeScript", 0, 24, 0, 4, 28
"g:\PSUT\db bonus final\db_bonus\app\phone-number\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\projects\actions.ts", "TypeScript", 0, 32, 0, 5, 37
"g:\PSUT\db bonus final\db_bonus\app\projects\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\research-category\actions.ts", "TypeScript", 0, 25, 0, 4, 29
"g:\PSUT\db bonus final\db_bonus\app\research-category\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\safety-roles\actions.ts", "TypeScript", 0, 25, 0, 4, 29
"g:\PSUT\db bonus final\db_bonus\app\safety-roles\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\safety-team\actions.ts", "TypeScript", 0, 24, 0, 4, 28
"g:\PSUT\db bonus final\db_bonus\app\safety-team\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\status\actions.ts", "TypeScript", 0, 25, 0, 4, 29
"g:\PSUT\db bonus final\db_bonus\app\status\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\team-phone\actions.ts", "TypeScript", 0, 24, 0, 4, 28
"g:\PSUT\db bonus final\db_bonus\app\team-phone\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\app\team\actions.ts", "TypeScript", 0, 24, 0, 3, 27
"g:\PSUT\db bonus final\db_bonus\app\team\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"g:\PSUT\db bonus final\db_bonus\components\ModifyEntry.tsx", "TypeScript JSX", 98, 0, 0, 14, 112
"g:\PSUT\db bonus final\db_bonus\components\SearchSSN.tsx", "TypeScript JSX", 32, 0, 0, 5, 37
"g:\PSUT\db bonus final\db_bonus\components\TeamRow.tsx", "TypeScript JSX", 2, 0, -1, 1, 2
"Total", "-", 170, 474, -2, 95, 737
