"filename", "language", "JSON with Comments", "XML", "JavaScript", "JSON", "Markdown", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"g:\PSUT\db bonus final\db_bonus\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"g:\PSUT\db bonus final\db_bonus\app\analysis-equipment\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 10, 64
"g:\PSUT\db bonus final\db_bonus\app\analysis-equipment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"g:\PSUT\db bonus final\db_bonus\app\analysis\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"g:\PSUT\db bonus final\db_bonus\app\analysis\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"g:\PSUT\db bonus final\db_bonus\app\animal\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 9, 69
"g:\PSUT\db bonus final\db_bonus\app\animal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 42
"g:\PSUT\db bonus final\db_bonus\app\aquatic\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 9, 62
"g:\PSUT\db bonus final\db_bonus\app\aquatic\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"g:\PSUT\db bonus final\db_bonus\app\birds\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 9, 61
"g:\PSUT\db bonus final\db_bonus\app\birds\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"g:\PSUT\db bonus final\db_bonus\app\camps\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 11, 76
"g:\PSUT\db bonus final\db_bonus\app\camps\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 3, 49
"g:\PSUT\db bonus final\db_bonus\app\employee-team\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 9, 63
"g:\PSUT\db bonus final\db_bonus\app\employee-team\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 42
"g:\PSUT\db bonus final\db_bonus\app\employee\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 87, 0, 0, 0, 16, 103
"g:\PSUT\db bonus final\db_bonus\app\employee\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 57
"g:\PSUT\db bonus final\db_bonus\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"g:\PSUT\db bonus final\db_bonus\app\health-status\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 11, 65
